gene.names	gene.type	pvals	fpvals	sm.network.interactions	bg.network.interactions	log.fpval	page.rank
SP1	gene	7.92745642706332e-17	6.40177483495377e-17	44	1554	16.1936996050524	0.0234065787236764
SMAD3	TF	5.60571913689193e-14	4.77834411575198e-14	32	1003	13.3207225774428	0.0194171254245943
CEBPB	gene	7.88385994298528e-13	6.9579625363484e-13	24	602	12.1575179139473	0.0138002347970662
CEBPB	TF	7.88385994298528e-13	6.9579625363484e-13	24	602	12.1575179139473	0.0138002347970662
MYOD1	TF	4.95583212528667e-12	4.67413178223094e-12	10	62	11.3302990472949	0.00654806514951485
MED1	gene	8.69417278378678e-12	8.1578075982136e-12	11	89	11.0884265417279	0.0070018445185175
SMAD4	TF	5.87644530091412e-10	5.18911923019362e-10	26	975	9.28490635042277	0.0149427729704077
AR	TF	1.29791907870738e-09	1.15578460277973e-09	24	867	8.93712309544875	0.0129535099302439
RXRA	TF	1.52306266359943e-09	1.43868711511390e-09	10	109	8.84203364592055	0.00576184509507347
HNF4A	TF	2.90970874680292e-09	2.56743612688843e-09	27	1131	8.59050035204809	0.0141228857215926
JUN	TF	4.90304501659468e-09	4.07153632607708e-09	48	3084	8.39024168609663	0.0259679935336092
FOXO1	TF	2.50155595095912e-08	2.41457569958923e-08	6	30	7.61715917444316	0.00378978052593243
MAX	TF	2.511386623131e-07	2.31188263982567e-07	17	603	6.63603421617269	0.00947122051008242
MAPK1	gene	1.18172915396064e-06	1.05685003739252e-06	27	1531	5.97598663289446	0.015764717359584
NCOA6	gene	3.05100798493739e-06	2.84978335009681e-06	14	500	5.54518815523145	0.00803370403468103
SMAD2	TF	3.6482787381833e-06	3.27335629902808e-06	27	1628	5.4850067199349	0.0157025463505338
PPARG	TF	3.87824508147278e-06	3.45266424074501e-06	30	1931	5.46184565318302	0.0159470545123739
JUNB	gene	3.79457150046326e-06	3.66691304075423e-06	6	68	5.43569938902178	0.0038792706414088
BPTF	gene	1.0676896217601e-05	1.04285120639075e-05	4	23	4.98177765212305	0.00326868778535153
PGR	TF	2.38518152780698e-05	2.22782107516893e-05	15	682	4.65211969194856	0.00878058319157336
NKX2-1	TF	3.49384410239921e-05	3.43203761038051e-05	3	11	4.46444796153102	0.00246826029896718
SREBF1	TF	3.92310929606333e-05	3.76187086075521e-05	8	204	4.42459611719182	0.00476331026687398
NCOA1	gene	4.23065784109192e-05	3.86614137690426e-05	23	1463	4.41272226875373	0.012173192675327
HIF1A	TF	4.47844287372223e-05	4.23026698990982e-05	12	479	4.37363222161187	0.00666578459554156
HIF1A	gene	4.47844287372223e-05	4.23026698990982e-05	12	479	4.37363222161187	0.00666578459554156
FOXH1	TF	8.49445599944257e-05	8.2592757328005e-05	5	73	4.08305803488776	0.0033572259447474
CEBPA	gene	0.00020662787878547	0.000188544733084494	26	1957	3.72458559491728	0.0135815903982618
CEBPA	TF	0.00020662787878547	0.000188544733084494	26	1957	3.72458559491728	0.0135815903982618
GABPA	TF	0.000404201335539184	0.000397190314842842	3	24	3.40100134995911	0.00249685159486819
NCOA3	gene	0.000429005025985239	0.00039721623379992	21	1503	3.40097301066594	0.0119520907058531
TCF12	TF	0.000441763291185496	0.000403584565699767	27	2173	3.3940654508583	0.0154434642550605
TCF12	TF	0.000441763291185496	0.000403584565699767	27	2173	3.3940654508583	0.0154434642550605
KRT8	gene	0.000735801537542177	0.000713350171863962	6	175	3.14669722978922	0.00400353653780295
ISL1	TF	0.000867715719241184	0.000798660339394628	25	2042	3.09763788162453	0.0137073182420007
ESRRA	TF	0.000883123119767923	0.000863735159366191	4	70	3.0636194015694	0.00283721097865022
NSDHL	gene	0.000910153241131322	0.000876014138201021	8	325	3.05748888459318	0.00556562562612598
MAZ	TF	0.000995932777136113	0.000984152519266199	2	8	3.0069375914642	0.00212975856980121
RUNX2	TF	0.00110240516545599	0.00106516959262347	7	259	2.97258123985263	0.00430278320997465
BATF	TF	0.00121881468103566	0.00118225776979434	6	193	2.92728782312119	0.00393643794008474
SPINT1	gene	0.00129976330605589	0.00122946513284308	14	893	2.91028378317461	0.00832660076250143
ARNT	gene	0.00139621717381938	0.00129903264931094	21	1653	2.88637993342475	0.0123767806655689
ARNT	TF	0.00139621717381938	0.00129903264931094	21	1653	2.88637993342475	0.0123767806655689
TAL1	TF	0.00155044970894959	0.00147537023117999	12	712	2.83109898362991	0.00727934517105003
EGLN1	gene	0.00199827657046128	0.00189275688163505	14	936	2.72290516614454	0.00854863029642891
MAFA	TF	0.00206206624914954	0.00201781668581364	4	88	2.69511829100088	0.00376286127423652
MYOG	TF	0.00230532169366902	0.00218461518410302	14	951	2.66062505212101	0.00779102981017329
SPI1	TF	0.00261941700813017	0.00252576048327031	8	385	2.59760783577831	0.00469164409529001
HES1	gene	0.00274713916858664	0.00255359702394778	23	1987	2.59284763647121	0.0129837187424219
ATF3	TF	0.00362916377033667	0.00347115131703334	11	690	2.45952645382493	0.00643587964463378
AKT1	gene	0.00366032786762897	0.00353179087187333	8	407	2.45200502023612	0.00482496407812568
CDKN1C	gene	0.00363145402235936	0.00358910263978738	2	15	2.44501412170134	0.00266867779546851
NFYB	TF	0.00399090843131128	0.00382871794822209	10	600	2.41694662582848	0.00585364792198751
GATA4	TF	0.00478468106127441	0.00460550623101211	9	519	2.33672262578164	0.00534795705320298
ASCL2	gene	0.00586509084073924	0.00564834654304286	9	536	2.24807866586661	0.00536531169626809
SREBF2	TF	0.00670461943927942	0.00636402971519395	15	1189	2.19626780119475	0.00839270492104263
VCAM1	gene	0.00685359728868654	0.0064272013515123	21	1902	2.19197809428892	0.0120933481624543
SLC8A1	gene	0.00784655077218502	0.007324346661994	24	2300	2.13523110868654	0.0142193294841807
TBX21	TF	0.00799686678683672	0.00780456161265672	5	202	2.10765148652228	0.00333308916038493
TCF3	TF	0.00832577944898816	0.00792760312417578	14	1105	2.10085809985664	0.00919259916116883
TRA@	TF	0.00847508086242662	0.0083778369889837	2	23	2.07686809413875	0.0020225187493335
BCL6	TF	0.0105306698984084	0.00983221688972579	25	2489	2.00734854987626	0.0143113354961639
EPAS1	gene	0.012418801244421	0.0117510595182702	18	1641	1.92992297405663	0.00984010711871514
RUNX1	TF	0.0127119713875022	0.0118654193373393	26	2661	1.92571690871724	0.0151435234706837
HSF1	gene	0.0146235786377898	0.0142851520375246	5	235	1.84511513304066	0.00352405562371684
MDFI	gene	0.0163388348196677	0.0158225256575949	8	530	1.80072419140675	0.00525557761123471
NR2F2	gene	0.0172995575623515	0.0165604142132382	13	1094	1.78092880473266	0.00741599036252672
GATA3	TF	0.0211588789846681	0.0197978183954491	27	2920	1.70338266383031	0.0147086550673024
ETV1	TF	0.0215320410465445	0.020404325843626	19	1873	1.69027774968904	0.0111491603336389
EHF	TF	0.0216383492868387	0.0209721995672203	8	559	1.67835601827997	0.00479527403704738
STK4	gene	0.0228195706364047	0.0217875411693928	15	1381	1.6617917792452	0.00872559592914875
MYB	TF	0.0234351061823948	0.0226633474817334	9	677	1.6446759424217	0.00576708668485135
FGFR2	gene	0.0245441968811294	0.0229938430970384	27	2960	1.63838843645793	0.015504737098934
GATA2	TF	0.0260370967605178	0.0251891482114959	9	690	1.59878651822248	0.00533993017907902
GATA2	gene	0.0260370967605178	0.0251891482114959	9	690	1.59878651822248	0.00533993017907902
SP3	gene	0.0278681854344883	0.0269059537562401	10	813	1.57015160857082	0.00611728450423217
PTF1A	TF	0.0294710376619346	0.0282842346805036	13	1180	1.54845556797646	0.00759819930234333
SOX3	TF	0.0312027243434494	0.0301393653904521	10	829	1.52086589635869	0.00583459331287379
TRIM28	gene	0.0338162897511083	0.0322473924731861	17	1712	1.49150539669661	0.00949021998813245
PCDH12	gene	0.0368787905763402	0.0364786545008354	2	50	1.43796118880961	0.00203392252921225
GAB1	gene	0.0384878349745984	0.0372901234679051	9	742	1.42840617868372	0.00541937317079871
TBX5	TF	0.0444188083655053	0.0423687813769017	18	1906	1.3729540271224	0.0098799591952256
