#Extended Data Table 4. Differentially H3K27ac acetylated loci between 2nd and 3rd trimester CTBs														
	seqnames	start	end	width	strand	Conc	Conc_second.CTB	Conc_third.CTB	Fold	absFC	p.value	FDR	nglogP	nglogFDR
20403	chr6	4929749	4934700	4952	*	10.66	11.23	9.71	1.51	1.51	2.85E-07	1.75E-06	6.54515514	5.756961951
4643	chr11	68670416	68672275	1860	*	9.09	8.15	9.66	-1.51	1.51	4.40E-07	2.48E-06	6.356547324	5.605548319
3762	chr10	120511797	120515764	3968	*	9.77	8.83	10.34	-1.51	1.51	4.57E-07	2.56E-06	6.3400838	5.591760035
3519	chr10	97019729	97029812	10084	*	11.58	10.64	12.15	-1.51	1.51	5.74E-07	3.07E-06	6.241088108	5.512861625
5843	chr12	57911827	57917989	6163	*	10.82	9.87	11.38	-1.51	1.51	6.81E-07	3.51E-06	6.166852888	5.454692884
11444	chr18	77793114	77795626	2513	*	9.2	8.26	9.77	-1.51	1.51	7.81E-07	3.91E-06	6.107348966	5.407823243
24676	chr9	6412428	6414617	2190	*	8.17	7.23	8.73	-1.51	1.51	8.66E-07	4.25E-06	6.062482108	5.37161107
19385	chr5	66176376	66179834	3459	*	10.26	9.31	10.82	-1.51	1.51	8.69E-07	4.26E-06	6.060980224	5.370590401
13973	chr2	174218744	174221470	2727	*	9.03	8.09	9.6	-1.51	1.51	1.05E-06	4.97E-06	5.978810701	5.303643611
11367	chr18	60599957	60602242	2286	*	8.05	8.61	7.1	1.51	1.51	1.22E-06	5.59E-06	5.913640169	5.252588192
20468	chr6	11137390	11141028	3639	*	10.08	9.14	10.64	-1.51	1.51	1.29E-06	5.87E-06	5.88941029	5.231361899
10891	chr17	80793175	80798718	5544	*	10.2	9.26	10.77	-1.51	1.51	1.53E-06	6.75E-06	5.815308569	5.170696227
24862	chr9	36172753	36178447	5695	*	10.16	9.22	10.73	-1.51	1.51	1.69E-06	7.34E-06	5.772113295	5.13430394
9973	chr17	16341490	16344263	2774	*	9.06	8.12	9.63	-1.51	1.51	2.21E-06	9.13E-06	5.655607726	5.039529222
1111	chr1	85723962	85725841	1880	*	8.51	7.56	9.07	-1.51	1.51	2.26E-06	9.30E-06	5.645891561	5.031517051
25200	chr9	95086433	95089092	2660	*	9.94	9	10.51	-1.51	1.51	2.27E-06	9.33E-06	5.643974143	5.030118356
3562	chr10	99400373	99401922	1550	*	8.93	7.98	9.49	-1.51	1.51	2.27E-06	9.36E-06	5.643974143	5.028724151
2079	chr1	192776778	192779660	2883	*	8.95	8	9.52	-1.51	1.51	2.29E-06	9.41E-06	5.640164518	5.026410377
5349	chr12	10873138	10876548	3411	*	10.12	9.18	10.69	-1.51	1.51	2.38E-06	9.72E-06	5.623423043	5.012333735
2977	chr10	24776590	24780933	4344	*	8.96	8.01	9.53	-1.51	1.51	2.39E-06	9.74E-06	5.621602099	5.011441043
12036	chr19	33071388	33073063	1676	*	8.87	7.93	9.43	-1.51	1.51	2.47E-06	9.98E-06	5.607303047	5.000869459
